Price,Open,High,Low,Vol.,Change %
1008.6,1006.9,1013.45,1004.2,57.44M,0.16%
1006.95,1000.7,1008.8,990.85,53.16M,0.58%
1001.1,1013.65,1014.8,999.4,44.81M,-1.22%
1013.5,1010.9,1024.65,1010.85,56.39M,0.29%
1010.6,987.65,1012.75,986.7,70.54M,2.37%
987.25,985.85,989.4,981.45,75.08M,0.16%
985.7,987.35,988.1,981.1,44.21M,-0.20%
987.7,998.85,1003.3,985.7,54.47M,-1.12%
998.85,992.4,1001.45,986.15,45.09M,0.37%
995.2,985.75,996.4,984.7,39.91M,0.96%
985.7,988.55,995.3,983.45,40.65M,-0.28%
988.45,988.6,994.25,984.35,55.11M,-0.01%
988.55,979.75,990.85,979.05,41.50M,0.89%
979.85,979.4,983.55,978.2,29.70M,0.06%
979.25,970.75,981.2,968.35,33.89M,0.99%
969.65,976.05,976.25,967.25,40.79M,-0.66%
976.05,970.4,977.2,969.9,26.76M,0.64%
969.85,961.15,971.55,961.15,38.88M,0.82%
961.95,953.8,963.85,948,53.34M,0.88%
953.55,969.15,971.75,951.2,42.63M,-1.60%
969.1,967.7,978.6,966.55,44.12M,0.25%
966.65,963.3,969.55,955.4,40.64M,0.35%
963.25,954.9,966.5,953.9,42.32M,0.89%
954.75,957.55,957.55,935.55,42.40M,-0.31%
957.7,959.2,972.05,954.15,43.35M,-0.13%
958.9,960.3,964.1,943.6,58.53M,-0.18%
960.65,973,987.5,956.8,54.99M,-1.13%
971.65,973,977.95,953.15,55.21M,-0.19%
973.5,1001.05,1001.05,972.55,59.58M,-2.80%
1001.55,1004.2,1021.3,997.85,77.65M,-0.25%
1004.05,1021.8,1022.2,1001.9,43.16M,-1.75%
1021.9,1012.05,1023.65,1005.75,48.05M,0.98%
1012,1035.2,1035.2,1009,38.10M,-2.31%
1035.9,1041.35,1041.5,1032.25,38.25M,-0.52%
1041.3,1032.55,1044,1032.55,32.85M,0.85%
1032.55,1035.95,1037.5,1025,36.54M,-0.33%
1035.95,1047.9,1051.85,1033.95,41.56M,-1.15%
1048,1057.95,1058.45,1043.3,30.06M,-0.97%
1058.25,1057.1,1064.9,1054.9,31.40M,0.16%
1056.6,1070.95,1070.95,1055.3,36.45M,-1.41%
1071.7,1081.55,1087.4,1069.45,40.20M,-0.80%
1080.3,1081.9,1083.65,1077.55,39.64M,-0.16%
1082.05,1074,1085.3,1072.9,41.66M,0.77%
1073.8,1071,1076.2,1067.45,31.66M,0.30%
1070.55,1069.95,1078.55,1068.4,39.80M,0.06%
1069.9,1067.8,1074,1065.55,39.63M,0.17%
1068.05,1067.9,1071.7,1064.95,42.06M,-0.08%
1068.95,1058,1070.15,1058,31.62M,1.05%
1057.8,1049.4,1068.9,1049.4,42.67M,0.88%
1048.55,1044.5,1053.7,1044,50.09M,0.42%
1044.2,1055.35,1061.05,1042.2,38.08M,-1.06%
1055.4,1061.9,1063.3,1048.55,48.99M,-0.61%
1061.85,1065.6,1065.6,1054.45,29.00M,-0.07%
1062.55,1069.5,1069.8,1058.95,36.40M,-0.70%
1070.05,1063.1,1074,1056.25,44.43M,0.67%
1062.9,1074.7,1079.2,1056.45,46.37M,-1.12%
1074.95,1088.9,1097.4,1073.75,38.29M,-1.28%
1088.9,1085.8,1097.55,1085.7,35.01M,0.29%
1085.7,1081.75,1087.6,1079.45,45.12M,0.26%
1082.85,1093,1102.05,1080.8,36.92M,-0.91%
1092.8,1097.15,1100.45,1088.5,45.73M,-0.39%
1097.05,1070.95,1099.5,1070.55,57.80M,2.54%
1069.9,1049.95,1072.5,1049.95,36.19M,2.01%
1048.8,1063.75,1063.75,1044.35,34.43M,-1.46%
1064.35,1064.15,1072,1055.5,49.92M,0.01%
1064.2,1045.55,1067.5,1045,48.38M,1.80%
1045.4,1040.15,1047.4,1036.55,31.09M,0.54%
1039.75,1029.25,1047.25,1029.25,35.08M,1.06%
1028.8,1032.5,1037.7,1020.1,48.91M,-0.32%
1032.15,1041.4,1049.95,1030.1,56.75M,-0.91%
1041.65,1038.2,1047.95,1026.5,59.43M,0.33%
1038.2,1061.9,1062.3,1034.1,47.30M,-2.31%
1062.7,1067,1071.5,1054.1,45.84M,-0.40%
1067,1026.9,1069.2,1026.9,51.00M,3.92%
1026.75,1045.2,1045.35,1024.3,40.36M,-1.77%
1045.3,1049.5,1050.9,1035.5,50.69M,-0.37%
1049.2,1074.75,1074.85,1028.25,69.84M,-2.34%
1074.35,1091.7,1097.95,1071.35,43.65M,-1.49%
1090.65,1092.8,1099.75,1079.95,55.62M,-0.20%
1092.8,1108.25,1111.25,1089.85,48.84M,-1.35%
1107.8,1115.15,1121.5,1102.65,43.83M,-0.65%
1115.1,1119.95,1125.95,1111.45,45.79M,-0.41%
1119.65,1116.8,1121.95,1114.2,35.78M,0.29%
1116.4,1127.05,1127.3,1111.15,39.47M,-0.99%
1127.6,1117.7,1136.55,1117.7,41.85M,0.89%
1117.6,1110.7,1122.7,1110.7,38.16M,0.62%
1110.7,1100.9,1111.85,1096.65,34.36M,0.89%
1100.95,1096.95,1102.05,1096.25,33.07M,0.36%
1096.95,1093.4,1098.6,1091.5,34.20M,0.33%
1093.3,1084.8,1101.1,1084.8,44.41M,0.81%
1084.5,1074.25,1085.75,1073.4,35.80M,0.96%
1074.2,1097.55,1098.65,1073.3,41.59M,-2.11%
1097.4,1094.25,1103.35,1094.1,30.87M,0.28%
1094.3,1110.65,1113.85,1089,44.99M,-1.47%
1110.6,1106.25,1116.85,1105.7,40.70M,0.42%
1106,1104,1108.8,1095,39.72M,0.17%
1104.15,1100.5,1107.2,1088.05,38.34M,0.35%
1100.3,1125.55,1127.05,1097.6,42.13M,-2.54%
1129,1125.25,1135,1123.8,34.22M,0.35%
1125.1,1119,1136.6,1118.95,34.38M,0.57%
1118.75,1130.8,1133.5,1116.65,32.53M,-1.36%
1134.15,1146.55,1152.55,1130.45,32.84M,-1.08%
1146.5,1143.25,1151.55,1138.65,38.87M,0.25%
1143.6,1138.55,1150.2,1138.55,48.51M,0.45%
1138.5,1126.7,1140.25,1125.75,48.37M,1.05%
1126.7,1135.15,1137.45,1122.1,37.26M,-0.75%
1135.25,1141.9,1147.9,1134,31.26M,-0.59%
1141.95,1146.05,1153.3,1139.9,40.19M,-0.34%
1145.9,1124.05,1149.65,1123.9,49.47M,1.99%
1123.5,1136.6,1136.9,1121.45,39.86M,-1.18%
1136.95,1138.8,1147.3,1132.3,50.73M,-0.18%
1138.95,1129.85,1143.3,1129.85,41.46M,0.83%
1129.55,1123.6,1138.45,1123.6,55.36M,0.55%
1123.35,1130,1134.1,1121.35,41.55M,0.03%
1123.05,1138.1,1140.2,1117.85,32.69M,-1.35%
1138.45,1144.5,1148.65,1135.9,36.79M,-0.50%
1144.2,1155.55,1155.55,1141.05,32.47M,-0.99%
1155.6,1152.05,1158.95,1148.5,41.28M,0.30%
1152.15,1169.4,1170.8,1150.3,40.01M,-1.47%
1169.3,1169.95,1184.7,1163.75,44.60M,-0.04%
1169.75,1159.6,1173.75,1159.6,61.76M,0.89%
1159.45,1156.85,1163.65,1153.15,31.82M,0.21%
1157.05,1150.2,1165.4,1143.55,41.96M,0.57%
1150.45,1167.85,1171.2,1144.3,50.38M,-1.49%
1167.85,1187.5,1192.75,1164.55,50.59M,-1.67%
1187.65,1193.6,1199.6,1182.55,50.28M,-0.45%
1193.05,1173.6,1195.2,1173.6,50.21M,1.74%
1172.6,1176.55,1182.65,1162.75,61.49M,-0.50%
1178.5,1176.4,1193.1,1175.15,63.43M,0.10%
1177.35,1178.45,1201.1,1172.3,74.30M,-0.06%
1178,1142.05,1181.25,1135.45,68.82M,3.15%
1142.05,1189.6,1197,1135.2,104.26M,-3.96%
1189.2,1190.15,1205.95,1180,76.05M,-0.02%
1189.4,1165.75,1192.65,1165.75,67.00M,2.06%
1165.45,1163.65,1167.6,1155.45,51.75M,0.17%
1163.5,1149.85,1165.7,1145.5,53.39M,1.19%
1149.85,1146.05,1158.05,1146.05,34.46M,0.34%
1145.95,1158.45,1158.45,1134.65,49.63M,-1.12%
1158.9,1172.85,1178.1,1155.1,59.28M,-1.19%
1172.85,1159.85,1177.05,1156.7,59.70M,1.11%
1159.95,1150.65,1164.1,1150.3,67.68M,0.87%
1150,1135.5,1151.65,1133.85,60.60M,1.31%
1135.1,1129.8,1142.3,1129.6,55.75M,0.50%
1129.5,1131.95,1143.3,1125.55,59.33M,-0.18%
1131.55,1124.85,1144.15,1124.85,61.16M,0.69%
1123.75,1112.8,1131.85,1104.45,73.01M,1.20%
1110.45,1114.85,1130.95,1104.3,93.83M,-0.24%
1113.1,1074.4,1117.1,1074,73.87M,3.62%
1074.25,1076.25,1081.2,1069.4,68.53M,-0.25%
1076.9,1083.05,1086.95,1074.15,57.89M,-0.44%
1081.65,1076.95,1088.05,1076.95,58.40M,0.58%
