Close,Open,High,Low
5131.72,5245.75,5263.11,5125.07
5131.54,5144.95,5163.01,5089.57
5229.34,5143.19,5232.49,5143.19
5285.54,5234.72,5300.79,5220.6
5299.96,5306.62,5317.41,5253.81
5315.81,5321.49,5343.91,5283.75
5390.88,5353.7,5399.08,5351.03
5437.05,5374.15,5445.34,5351.21
5418.23,5437.26,5457.88,5401.09
5455,5432.46,5466.3,5407.46
5541.35,5486.63,5555.68,5486.63
5577.96,5547.68,5590.45,5543.98
5564.33,5590.01,5616.25,5550.52
5641.92,5566.05,5648.24,5560.23
5699.24,5650.74,5705.3,5650.74
5797.33,5725.44,5814.26,5725.44
5791.85,5831.78,5920.76,5762.6
5838.96,5812.38,5876.55,5801.52
5915.47,5872.48,5936.41,5868.27
6026.59,5944.23,6034.38,5944.23
6039,6050.48,6078.11,5964.65
5943.64,6068.68,6121.2,5916.33
5957.02,5970.35,5985.3,5870.55
6108.54,5992.1,6118.62,5992.1
6119.59,6211.06,6249.6,6096.68
6067.76,6152.22,6152.22,6037.3
6132.97,6084.65,6147.74,6011.57
6194.11,6157.88,6215.02,6157.88
6063.91,6219.81,6248.81,6045.3
5946.19,6068.66,6072.03,5914.02
6064.1,5967.39,6076.97,5870.99
5922.11,6099.94,6130.09,5899.71
5758.19,5927.42,5962.36,5728.32
5593.74,5793.83,5852.96,5567.68
5816.64,5646.33,5832.74,5596.57
5993.06,5854.35,6005.54,5791.74
5876.05,5980.88,6030.55,5815.2
5802.75,5865.21,5921.72,5774.31
5695.67,5841.21,5854.29,5685.64
5620.98,5715.46,5715.46,5550.17
5756.76,5633.15,5769.79,5574.68
5720.63,5756.3,5820.45,5648.14
5786.35,5710.13,5800.94,5683.61
5926.22,5810.21,5935.68,5807.73
5932.52,5937.46,5972.94,5866.62
5949.78,5936.41,5958.91,5905.23
5936.96,5973.71,5986.41,5886.98
6011.66,5936.65,6017.01,5922.38
6012.35,6025.85,6063.91,6001.57
6035.8,6018.95,6058.99,5999.13
6027.02,6060.14,6082.8,6018.81
5855.1,6041.36,6041.36,5845.07
5850.72,5847.97,5893.62,5770.87
5698.04,5869.61,5875.23,5680.36
5734.44,5686.81,5748.15,5606.84
5618.15,5746.79,5746.79,5606.86
5567.12,5639.83,5723.31,5556.31
5667.51,5595.83,5683.29,5551.64
5823.17,5649.3,5831.55,5649.3
5842.2,5830.77,5870.63,5792.97
5815.87,5842.41,5872.75,5769.34
5880.35,5834.37,5892.78,5818.77
5935.19,5899.26,5951.03,5898.57
5850.61,5923.35,5923.35,5794.82
5759.29,5833.19,5833.19,5745.56
5649.86,5737.69,5763.71,5634.4
5700.4,5632.13,5735.94,5570.81
5520.66,5745.06,5764.2,5505.98
5525.09,5471.17,5551.92,5434.97
5535.69,5545.83,5560.15,5482.63
5414.94,5539.72,5540.68,5399.05
5443.44,5410.48,5496.68,5386.62
5365.4,5446.88,5446.88,5347.05
5400.99,5356.97,5450.38,5324.78
5395.28,5412.13,5435.4,5345.15
5414.44,5403.38,5438.86,5368.88
5528.94,5448.29,5552.34,5448.29
5571.37,5538.52,5578.74,5495.31
5520.44,5595.93,5608.31,5509.58
5590.6,5518.43,5599.6,5493.12
5740.85,5599.12,5750.29,5599.12
5788.08,5762.81,5799.16,5700.6
5838.02,5809.74,5905.35,5798.37
5822.42,5886.02,5897.56,5780.94
5815.13,5827.07,5860.67,5774.88
5838.45,5824.37,5864.55,5783.74
5783.79,5856.44,5867.07,5760.25
5904.52,5823.53,5920.18,5743.58
5843.97,5923.84,5927.04,5824.21
5862.82,5868.39,5903.13,5843.77
5861.63,5878.17,5881.48,5852.13
5800.54,5875.53,5895.17,5782.37
